	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
637	CoCrFeNiZr	Cr20.0Fe20.0Co20.0Ni20.0Zr20.0	1.14183	0.75255	7.4	0.29109	1.722	0.12441	0.10825	0.02597	0.0994	0.01338	1.13247	-22.72	4.54E+23	5.28E+23	0	5.28E+23	BCC+IM	8
638	VCrFeTa0.1W0.1	V33.266666666666666Cr33.266666666666666Fe33.266666666666666Ta0.1W0.1	12.58585	0.85501	6.33167	0.1969	1.70711	0.05308	0.02711	0.00424	0.0903	0.00925	4.27679	-4.45732	5.85E+22	8.66E+22	6.41E+20	8.66E+22	BCC	0
639	CoCrHf0.2FeNi	Cr24.95Fe24.95Co24.95Ni24.95Hf0.2	76.43284	0.76192	8.2415	0.18075	1.81896	0.05462	0.01233	0.00091	0.09739	0.01162	5.51196	-3.94859	7.95E+22	9.61E+22	0	9.61E+22	IM	3
640	Fe18.6Co18.6Ni18.6Cr18.8Mn18.8Al7	Al7.0Cr18.8Mn18.8Fe18.6Co18.6Ni18.6	7.04263	0.85431	7.676	0.24354	1.7615	0.07935	0.0455	0.011	0.1738	0.01458	3.24058	-7.86392	1.81E+23	2.05E+23	1.56E+22	2.04E+23	FCC	1
641	AlNbTaTiV	Al20.0Ti20.0V20.0Nb20.0Ta20.0	10.51598	0.89363	4.4	0.18182	1.576	0.03072	0.03567	0.0083	0.3582	0.01338	2.20957	-13.44	2.44E+23	2.81E+23	1.46E+22	2.80E+23	BCC	0
642	HfNbTaTiZrW	Ti16.666666666666668Zr16.666666666666668Nb16.666666666666668Hf16.666666666666668Ta16.666666666666668W16.666666666666668	4.55242	0.84225	4.66667	0.15972	1.605	0.22086	0.05721	0.01288	0.22675	0.0149	19.18572	-2.11111	7.79E+22	7.96E+22	3.29E+22	7.24E+22	BCC	0
644	AlCoFeNi	Al25.0Fe25.0Co25.0Ni25.0	2.95074	0.85466	7.5	0.35901	1.8075	0.06504	0.06251	0.01352	0.23269	0.01153	1.30821	-13.75	2.83E+23	3.62E+23	0	3.62E+23	BCC	0
645	Al0.4CrCuFeNi	Al0.4Cr24.9Fe24.9Ni24.9Cu24.9	53.92378	0.85303	8.727	0.2235	1.82414	0.05528	0.01473	0.00273	0.1678	0.0117	4.55401	4.53678	1.92E+23	2.03E+23	1.85E+23	8.26E+22	FCC	1
646	AlCo0.5CrCu0.5FeNi	Al24.75Cr24.75Fe24.75Co0.5Ni24.75Cu0.5	3.05604	0.85463	6.7825	0.38264	1.75388	0.06973	0.06248	0.01362	0.27233	0.01193	1.5293	-12.96592	2.25E+23	3.00E+23	2.78E+22	2.99E+23	IM	3
647	AlCrFeMnNi	Al20.0Cr20.0Mn20.0Fe20.0Ni20.0	3.92177	0.85513	6.8	0.34047	1.712	0.07944	0.05841	0.01184	0.25115	0.01338	1.75214	-12.48	2.50E+23	3.06E+23	1.77E+22	3.05E+23	BCC	0
648	CuMnNiZn25	Mn25.0Ni25.0Cu25.0Zn25.0	5.82773	0.88538	10	0.18708	1.7525	0.08935	0.04448	0.00738	0.2926	0.01153	4.36302	-3.5	1.88E+23	2.00E+23	7.85E+22	1.84E+23	FCC	1
649	Mg70Ni15Nd15	Mg70.0Ni15.0Nd15.0	0.97346	0.75133	3.35	0.84047	1.3745	0.16934	0.08364	0.01492	0.26761	0.00681	1.08432	-6.9	2.37E+23	3.34E+23	0	3.34E+23	AM	4
650	Al85.1Mg10Zn2Cu2Si0.9	Mg10.0Al85.1Si0.9Cu2.0Zn2.0	2.48339	0.70824	3.249	0.52837	1.58921	0.06611	0.04355	0.00674	0.10496	0.00471	3.08913	-1.43752	1.37E+23	1.52E+23	1.01E+22	1.52E+23	IM	3
651	AlCoFeMo0.5Ni	Al24.875Fe24.875Co24.875Ni24.875Mo0.5	3.00673	0.85468	7.4925	0.35875	1.80926	0.06625	0.06246	0.01351	0.23881	0.01173	1.34076	-13.70737	2.81E+23	3.59E+23	0	3.59E+23	IM	3
652	Zr41.2Ti13.8Cu12.5Ni10Be22.5	Be22.5Ti13.8Ni10.0Cu12.5Zr41.2	0.62223	0.68913	5.025	0.61577	1.54223	0.14244	0.13991	0.02165	0.15724	0.01218	0.63609	-35.1966	5.29E+23	7.31E+23	1.76E+22	7.31E+23	AM	4
653	CoCuFeMnNiSn0.05	Mn19.990000000000002Fe19.990000000000002Co19.990000000000002Ni19.990000000000002Cu19.990000000000002Sn0.05	12.7115	0.74034	8.9975	0.15763	1.81407	0.07434	0.03248	0.00733	0.10611	0.01341	12.45932	1.76104	1.59E+23	1.61E+23	1.36E+23	8.59E+22	FCC+IM	9
654	CoCrFeNiTa0.4	Cr24.9Fe24.9Co24.9Ni24.9Ta0.4	120.3461	0.85409	8.237	0.18092	1.81872	0.05421	0.00986	0.00094	0.10708	0.0117	5.46569	-4.01886	7.80E+22	9.52E+22	0	9.52E+22	FCC+IM	9
655	Al0.3CrFe1.5Ni0.5	Al0.3Cr97.7Fe1.5Ni0.5	16.58352	0.85283	6.041	0.06731	1.66365	0.01635	0.00807	0.00028	0.04018	0.00108	7.39857	-0.31654	2.39E+22	2.50E+22	0	2.50E+22	IM	3
656	Ti0.1CoCrFeNiAl0.3	Al0.3Ti0.1Cr24.9Fe24.9Co24.9Ni24.9	109.61918	0.83277	8.23	0.18343	1.81909	0.05364	0.01034	0.00095	0.10016	0.01172	5.4867	-3.99233	7.56E+22	9.32E+22	0	9.32E+22	FCC	1
657	Al19.3Co15Cr15Ni50.7	Al19.3Cr15.0Co15.0Ni50.7	3.17423	0.85867	7.899	0.34884	1.8101	0.07182	0.05677	0.01162	0.23212	0.01023	1.16634	-14.45849	2.38E+23	3.54E+23	0	3.54E+23	FCC+IM	9
658	CrTaTi0.3VW	Ti0.3V24.925Cr24.925Ta24.925W24.925	4.7091	0.84351	5.4955	0.09207	1.78676	0.1879	0.04976	0.00861	0.237	0.01166	7.74611	-4.26641	5.32E+22	6.56E+22	6.41E+21	6.53E+22	BCC+IM	8
659	CoFeMnTiVZr3	Ti19.4V19.4Mn19.4Fe19.4Co19.4Zr3.0	2.94107	0.75348	6.522	0.28822	1.67532	0.0912	0.06924	0.0151	0.11859	0.0141	1.80504	-14.47395	2.71E+23	3.22E+23	0	3.22E+23	IM	3
660	Al7HfNbTiZr	Al7.0Ti23.25Zr23.25Nb23.25Hf23.25	5.26595	0.88352	4.1625	0.12623	1.45423	0.09088	0.04936	0.00836	0.21005	0.01283	4.50129	-6.36585	2.78E+23	2.87E+23	4.52E+22	2.83E+23	BCC	0
661	CoCrFeMoNi	Cr20.0Fe20.0Co20.0Ni20.0Mo20.0	9.86935	0.90224	7.8	0.20513	1.888	0.08537	0.03682	0.00881	0.21204	0.01338	5.98813	-4.64	6.81E+22	8.52E+22	0	8.52E+22	FCC+IM	9
662	CoFeMnTi1.5VZr	Ti1.5V19.7Mn19.7Fe19.7Co19.7Zr19.7	1.46262	0.75484	6.561	0.28467	1.64244	0.12047	0.09724	0.02228	0.12938	0.01383	1.43128	-18.19177	3.45E+23	4.09E+23	0	4.09E+23	IM	3
663	AlCo2CuFeNi	Al24.5Fe24.5Co2.0Ni24.5Cu24.5	3.3853	0.8549	8.02	0.38085	1.81385	0.06619	0.05981	0.01298	0.23682	0.01211	3.66522	-4.8363	3.39E+23	3.49E+23	1.66E+23	3.07E+23	FCC+IM	9
664	Ni50Nb20Hf5Ti25	Ti25.0Ni50.0Nb20.0Hf5.0	1.43158	0.77244	7.2	0.39185	1.725	0.11275	0.08223	0.00838	0.19915	0.00968	0.59136	-33.14	3.44E+23	6.07E+23	2.15E+22	6.06E+23	AM	4
666	CoFeMnTiVZr0.7	Ti19.86V19.86Mn19.86Fe19.86Co19.86Zr0.7	3.45712	0.75306	6.5818	0.28273	1.68351	0.08608	0.06279	0.0136	0.11815	0.01363	1.8549	-13.5674	2.52E+23	3.02E+23	0	3.02E+23	IM	3
667	Fe40.4Ni11.3Mn34.8Al7.5Cr6C1.1	C1.1Al7.5Cr6.0Mn34.8Fe40.4Ni11.3	2.71487	0.54521	7.427	0.21982	1.74295	0.09613	0.06531	0.00962	0.24583	0.01158	2.3668	-8.35908	2.81E+23	3.11E+23	1.23E+22	3.11E+23	FCC	1
668	Al1.2CrCuFeNi	Al1.2Cr24.7Fe24.7Ni24.7Cu24.7	31.82949	0.85309	8.681	0.2314	1.82242	0.0561	0.01936	0.00323	0.173	0.01193	5.10007	4.11502	1.99E+23	2.08E+23	1.84E+23	9.56E+22	BCC+FCC+IM	12
669	AlCrFeNi	Al25.0Cr25.0Fe25.0Ni25.0	2.92914	0.85464	6.75	0.38311	1.7525	0.0697	0.06274	0.01357	0.27319	0.01153	1.44721	-13.25	2.20E+23	3.00E+23	0	3.00E+23	BCC	0
670	NbTaTiZr	Ti25.0Zr25.0Nb25.0Ta25.0	4.92197	0.88259	4.5	0.11111	1.4925	0.06723	0.0484	0.0103	0.21073	0.01153	11.65568	2.5	3.00E+22	3.92E+22	3.92E+22	0	BCC	0
671	AlNbTa0.5TiZr0.5	Al33.0Ti33.0Zr0.5Nb33.0Ta0.5	56.62722	0.88139	4.005	0.20361	1.58165	0.02279	0.013	0.00184	0.3963	0.00957	0.88255	-20.4201	3.20E+23	4.51E+23	2.62E+22	4.50E+23	IM	3
672	Al0.75HfNbTaTiZr	Al0.75Ti19.85Zr19.85Nb19.85Hf19.85Ta19.85	5.47532	0.88316	4.3895	0.11454	1.45517	0.08149	0.04993	0.00973	0.19675	0.01365	19.19054	1.7861	8.82E+22	8.97E+22	4.25E+22	7.90E+22	BCC	0
673	AlCoCrCuFeMnNi	Al14.285714285714286Cr14.285714285714286Mn14.285714285714286Fe14.285714285714286Co14.285714285714286Ni14.285714285714286Cu14.285714285714286	6.00218	0.85466	7.71429	0.32288	1.76286	0.07963	0.05192	0.01247	0.22631	0.01618	4.63595	-5.63265	2.77E+23	2.85E+23	1.26E+23	2.55E+23	FCC+BCC+IM	12
674	CoCrFeMnCuNi	Cr16.666666666666668Mn16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668Cu16.666666666666668	16.47857	0.91184	8.5	0.20092	1.78833	0.07595	0.03007	0.00709	0.14827	0.0149	17.81782	1.44444	1.62E+23	1.63E+23	1.37E+23	8.84E+22	FCC	1
675	Zr41Ti14Cu12.5Ni10Be22.5	Be22.5Ti14.0Ni10.0Cu12.5Zr41.0	0.62363	0.68911	5.025	0.61577	1.54265	0.14227	0.13981	0.02172	0.15713	0.01219	0.63737	-35.148	5.30E+23	7.31E+23	1.76E+22	7.30E+23	AM	4
676	Mg54Cu26.5Ag8.5Gd11	Mg54.0Cu26.5Ag8.5Gd11.0	0.77816	0.69151	5.26	0.80282	1.50695	0.19625	0.1102	0.01818	0.2163	0.00945	1.27243	-8.4484	2.58E+23	3.49E+23	1.91E+22	3.49E+23	AM	4
677	Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni	Al1.4Cr1.4Fe0.9Co0.9Ni94.9Cu0.5	7.53051	0.8528	9.824	0.09811	1.90126	0.02424	0.01759	0.00111	0.06473	0.00233	2.58443	-1.55289	1.05E+23	1.14E+23	1.30E+22	1.13E+23	BCC+IM	8
678	NbTiV0.3Mo0.5	Ti49.6V0.3Nb49.6Mo0.5	36.27882	0.89453	4.509	0.11307	1.57313	0.03263	0.01302	0.00041	0.17244	0.00615	7.80022	1.85107	1.62E+22	3.27E+22	3.06E+22	1.14E+22	BCC	0
679	FeCoCrNiCuAlMo0.4	Al16.599999999999998Cr16.599999999999998Fe16.599999999999998Co16.599999999999998Ni16.599999999999998Cu16.599999999999998Mo0.4	5.37196	0.85427	7.826	0.34105	1.79978	0.06724	0.05293	0.01299	0.24441	0.01505	5.19096	-4.73963	2.80E+23	2.86E+23	1.42E+23	2.48E+23	BCC+IM	8
680	AlCoCrFeMo0.4Ni	Al19.919999999999998Cr19.919999999999998Fe19.919999999999998Co19.919999999999998Ni19.919999999999998Mo0.4	4.04168	0.85431	7.1952	0.34441	1.77953	0.06896	0.05788	0.0139	0.24562	0.01354	1.86189	-12.28219	2.36E+23	2.88E+23	0	2.88E+23	BCC+IM	8
683	Al20CoCrCuFeMnNiTiV	Al20.0Ti10.0V10.0Cr10.0Mn10.0Fe10.0Co10.0Ni10.0Cu10.0	4.56154	0.83647	6.6	0.41328	1.712	0.08317	0.0628	0.01511	0.26107	0.01799	1.90557	-15.44	3.80E+23	4.16E+23	8.97E+22	4.06E+23	BCC	0
684	TiZrCuNiBe	Be20.0Ti20.0Ni20.0Cu20.0Zr20.0	0.8525	0.68471	6.2	0.58065	1.65	0.13579	0.12528	0.0254	0.15597	0.01338	0.77119	-30.24	5.72E+23	6.96E+23	3.32E+22	6.95E+23	AM	4
685	HfMo0.5NbTaTiZr	Ti19.9Zr19.9Nb19.9Mo0.5Hf19.9Ta19.9	5.37594	0.84055	4.408	0.11378	1.45753	0.08785	0.05026	0.00981	0.18851	0.01358	13.22128	2.59337	3.67E+22	4.36E+22	4.23E+22	1.03E+22	BCC	0
686	Cr26Mn20Fe20Co20Ni14	Cr26.0Mn20.0Fe20.0Co20.0Ni14.0	12.35002	0.91179	7.76	0.1796	1.751	0.07736	0.03273	0.00778	0.1265	0.01323	6.49674	-3.7232	8.29E+22	9.56E+22	1.81E+22	9.38E+22	FCC	1
687	CoCrFeMnNiV0.25	V0.25Cr19.95Mn19.95Fe19.95Co19.95Ni19.95	12.5314	0.91179	7.9925	0.17771	1.76566	0.07836	0.03281	0.00786	0.11925	0.01349	5.7568	-4.22302	9.02E+22	1.05E+23	1.60E+22	1.04E+23	FCC	1
688	AlCrFeNiTi0.25	Al24.9375Ti0.25Cr24.9375Fe24.9375Ni24.9375	2.93459	0.83491	6.74313	0.38357	1.75197	0.06989	0.06298	0.01366	0.27287	0.01164	1.44464	-13.40578	2.24E+23	3.04E+23	0	3.04E+23	BCC+IM	8
691	CoFeMnTi2.5VZr	Ti2.5V19.5Mn19.5Fe19.5Co19.5Zr19.5	1.49006	0.75491	6.535	0.28705	1.6414	0.1201	0.097	0.02226	0.12872	0.01402	1.446	-18.2598	3.46E+23	4.08E+23	0	4.08E+23	IM	3
692	Al0.3CoCrCuFeNi	Al0.3Cr19.94Fe19.94Co19.94Ni19.94Cu19.94	79.20799	0.853	8.7826	0.19891	1.83532	0.05062	0.01306	0.00264	0.14996	0.01351	7.87596	3.03008	1.69E+23	1.74E+23	1.56E+23	7.63E+22	FCC	1
693	CoCrFeMnGeNi	Cr16.666666666666668Mn16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668Ge16.666666666666668	15.39523	0.91166	7.33333	0.26891	1.80667	0.08614	0.03111	0.00769	0.17281	0.0149	1.67296	-15.16667	3.22E+23	3.72E+23	1.42E+22	3.72E+23	BCC+FCC	5
694	Ti1.89CrNbV0.56	Ti1.89V0.56Cr48.775Nb48.775	1.47005	0.84353	5.46885	0.09793	1.6283	0.01969	0.06746	0.00139	0.11865	0.00669	2.38604	-6.87919	2.79E+22	1.03E+23	5.67E+21	1.03E+23	BCC	0
695	AlCrMoTiW	Al20.0Ti20.0Cr20.0Mo20.0W20.0	4.69921	0.84497	5	0.25298	1.866	0.17688	0.05336	0.01152	0.39853	0.01338	3.09158	-10.08	1.84E+23	2.09E+23	6.22E+21	2.09E+23	BCC+IM	8
696	MoNbReTaTiVW	Ti14.285714285714286V14.285714285714286Nb14.285714285714286Mo14.285714285714286Ta14.285714285714286W14.285714285714286Re14.285714285714286	14.39168	0.89298	5.42857	0.16644	1.81286	0.17174	0.03353	0.00761	0.20905	0.01618	4.1776	-11.18367	1.57E+23	1.74E+23	8.01E+21	1.73E+23	BCC	0
697	Ti30Zr20Ni30Co10Cu10	Ti30.0Co10.0Ni30.0Cu10.0Zr20.0	1.2003	0.76063	7	0.43331	1.679	0.13979	0.10209	0.01898	0.11812	0.01251	0.6929	-33.2	5.47E+23	7.10E+23	3.61E+22	7.09E+23	IM	3
698	Al0.5CrCuFeNi2	Al0.5Cr32.5Fe32.5Ni2.0Cu32.5	38.12181	0.85313	8.34	0.24905	1.798	0.05653	0.01618	0.00231	0.18984	0.00998	1.79955	9.8582	1.76E+23	2.38E+23	2.35E+23	3.78E+22	FCC	1
700	Ta0.65CoCrFeNi2.0	Cr32.449999999999996Fe32.449999999999996Co32.449999999999996Ni2.0Ta0.65	65.23153	0.85412	7.696	0.16785	1.79051	0.05434	0.0124	0.00116	0.11168	0.01003	6.10144	-3.16403	6.02E+22	7.66E+22	0	7.66E+22	FCC+IM	9
701	CaAlZn	Al33.333333333333336Ca33.333333333333336Zn33.333333333333336	0.33176	0.68338	5.66667	0.79357	1.42	0.20946	0.16589	0.02603	0.18921	0.00913	0.45783	-18.22222	5.20E+23	7.86E+23	2.64E+22	7.86E+23	IM	3
702	Pd79.5Cu4Si16.5	Si16.5Cu4.0Pd79.5	1.3121	0.83095	9.05	0.24899	2.1385	0.05663	0.0621	0.00771	0.05698	0.00506	0.29019	-31.1409	3.74E+23	8.17E+23	0	8.17E+23	AM	4
703	Al0.8CoCrFeNiTi1.2	Al0.8Ti1.2Cr24.5Fe24.5Co24.5Ni24.5	22.94033	0.83293	8.157	0.19662	1.81496	0.05627	0.02308	0.00272	0.1058	0.01222	4.44948	-5.12222	1.24E+23	1.42E+23	0	1.42E+23	IM	3
704	CrFeNiV0.5W	V0.5Cr24.875Fe24.875Ni24.875W24.875	6.8273	0.89949	7.4875	0.22217	1.93845	0.13362	0.04145	0.00895	0.33625	0.01173	8.87529	-3.10937	5.54E+22	6.48E+22	7.66E+21	6.43E+22	BCC+FCC+IM	12
705	AlCoCrCu0.5FeNi3	Al24.125Cr24.125Fe24.125Co24.125Ni3.0Cu0.5	3.31137	0.85463	6.6275	0.35446	1.75072	0.06558	0.06144	0.0137	0.26818	0.0125	1.82511	-11.45939	2.12E+23	2.71E+23	2.82E+22	2.70E+23	IM	3
706	AlNbTiVZr0.25	Al24.9375Ti24.9375V24.9375Zr0.25Nb24.9375	7.275	0.80645	4.24938	0.1949	1.59434	0.02259	0.04	0.00844	0.33626	0.01164	1.39599	-16.27858	2.89E+23	3.59E+23	1.89E+22	3.59E+23	IM	3
707	CrTaTi0.17VW	Ti0.17V24.9575Cr24.9575Ta24.9575W24.9575	4.70213	0.8435	5.49745	0.09157	1.78708	0.18792	0.04969	0.00858	0.23679	0.01161	7.72891	-4.25932	5.31E+22	6.55E+22	6.40E+21	6.52E+22	BCC+IM	8
708	CoCuFeNiSn0.07	Fe24.9825Co24.9825Ni24.9825Cu24.9825Sn0.07	59.71107	0.73901	9.49615	0.11869	1.88006	0.01643	0.01392	0.00252	0.10988	0.01157	3.85155	5.0028	1.44E+23	1.64E+23	1.62E+23	2.44E+22	FCC+IM	9
709	CuNiTi	Ti33.333333333333336Ni33.333333333333336Cu33.333333333333336	1.77893	0.84085	8.33333	0.37094	1.78333	0.09651	0.07164	0.01115	0.1438	0.00913	0.86053	-17.77778	4.20E+23	5.24E+23	5.76E+22	5.21E+23	IM	3
710	Ho35Al24Co20Y21	Al24.0Co20.0Y21.0Ho35.0	0.58025	0.68119	4.2	0.57143	1.4491	0.1841	0.13955	0.02305	0.22716	0.0113	0.52127	-33.9328	4.93E+23	7.54E+23	0	7.54E+23	AM	4
711	Fe91Hf7B2	B2.0Fe91.0Hf7.0	0.40601	0.50816	7.62	0.15942	1.7971	0.07763	0.08466	0.01113	0.10152	0.00291	0.71492	-7.6132	1.83E+23	2.64E+23	0	2.64E+23	SS	15
712	CoCrFeNiZr0.5	Cr24.875Fe24.875Co24.875Ni24.875Zr0.5	28.13109	0.74795	8.22875	0.18295	1.81755	0.05637	0.02042	0.00143	0.09654	0.01173	5.05721	-4.34442	1.10E+23	1.25E+23	0	1.25E+23	FCC+IM	9
713	Al0.5CoCrCuFeNiTi0.6	Al0.5Ti0.6Cr19.78Fe19.78Co19.78Ni19.78Cu19.78	36.89488	0.83314	8.7422	0.2056	1.83309	0.05228	0.01934	0.00332	0.15111	0.0138	10.06357	2.42143	1.85E+23	1.88E+23	1.55E+23	1.07E+23	FCC+BCC	5
714	CoCrNiCu0.5Al	Al24.875Cr24.875Co24.875Ni24.875Cu0.5	3.13181	0.85913	7.02	0.39121	1.76568	0.07455	0.0612	0.01329	0.27293	0.01173	1.27058	-15.24091	2.56E+23	3.48E+23	2.17E+22	3.47E+23	BCC	0
715	Al1.25HfNbTiZr	Al1.25Ti24.6875Zr24.6875Nb24.6875Hf24.6875	5.00147	0.88367	4.23438	0.10678	1.44459	0.09014	0.04886	0.0075	0.15142	0.01194	33.65555	0.82086	1.27E+23	1.28E+23	4.64E+22	1.19E+23	BCC	0
717	HfMoTaTiZr	Ti20.0Zr20.0Mo20.0Hf20.0Ta20.0	3.61	0.84005	4.6	0.17391	1.566	0.19874	0.06088	0.01224	0.1934	0.01338	17.78564	-1.92	5.75E+22	6.01E+22	2.47E+22	5.47E+22	BCC	0
718	Mn2CrFeNi2Cu	Cr32.0Mn2.0Fe32.0Ni2.0Cu32.0	38.29296	0.91152	8.34	0.2441	1.794	0.05903	0.01648	0.00254	0.18665	0.0104	1.87705	9.8432	1.72E+23	2.33E+23	2.32E+23	2.79E+22	FCC	1
719	Co10Cr25Fe20Mn5Ni40	Cr25.0Mn5.0Fe20.0Co10.0Ni40.0	35.03938	0.91135	8.35	0.19413	1.8105	0.06435	0.01832	0.00308	0.10754	0.01176	4.57343	-4.76	7.85E+22	1.05E+23	8.75E+21	1.04E+23	FCC	1
720	MoNbTiV0.5Zr	Ti24.875V0.5Zr24.875Nb24.875Mo24.875	3.23779	0.80906	4.75125	0.17412	1.65736	0.18474	0.06019	0.01198	0.16578	0.01173	11.34505	-2.50989	7.27E+22	7.73E+22	3.32E+22	6.98E+22	BCC	0
721	Al0.62CoCrFeMnNi	Al0.62Cr19.875999999999998Mn19.875999999999998Fe19.875999999999998Co19.875999999999998Ni19.875999999999998	11.61567	0.85364	7.969	0.18364	1.76503	0.07845	0.03423	0.0082	0.12488	0.01361	5.42191	-4.50784	1.01E+23	1.16E+23	1.60E+22	1.15E+23	FCC+BCC	5
723	Ti0.5Co1.5CrFeNiAl	Al24.5Ti0.5Cr24.5Fe24.5Co1.5Ni24.5	3.08262	0.8349	6.77	0.3814	1.75335	0.07006	0.06291	0.01387	0.27033	0.0122	1.50311	-13.5226	2.30E+23	3.07E+23	0	3.07E+23	BCC+FCC	5
724	Al0.5CoCrCuFeNiTi0.8	Al0.5Ti0.8Cr19.740000000000002Fe19.740000000000002Co19.740000000000002Ni19.740000000000002Cu19.740000000000002	32.37742	0.83316	8.7326	0.20706	1.8325	0.05273	0.02069	0.0035	0.151	0.01386	10.84387	2.2574	1.90E+23	1.92E+23	1.55E+23	1.14E+23	FCC+BCC	5
725	Ti35Zr25Nb25Ta15	Ti35.0Zr25.0Nb25.0Ta15.0	5.02257	0.88269	4.4	0.11134	1.4965	0.06773	0.04718	0.01002	0.20547	0.01118	11.33325	2.36	3.01E+22	3.99E+22	3.99E+22	0	BCC	0
726	Ni60Zr28Nb7Al5	Al5.0Ni60.0Zr28.0Nb7.0	0.62488	0.75954	7.62	0.3852	1.7109	0.14991	0.11525	0.01231	0.19173	0.0083	0.36122	-43.0104	3.28E+23	8.52E+23	2.17E+22	8.51E+23	AM	4
727	Al0.4CoCrFeNi	Al0.4Cr24.9Fe24.9Co24.9Ni24.9	117.94165	0.85273	8.229	0.18384	1.81916	0.05355	0.00996	0.00094	0.10145	0.0117	5.50924	-3.96707	7.27E+22	9.06E+22	0	9.06E+22	FCC	1
728	NbTiV5Zr	Ti31.666666666666668V5.0Zr31.666666666666668Nb31.666666666666668	3.27993	0.81028	4.36667	0.11036	1.497	0.07808	0.05612	0.0103	0.14884	0.01033	11.93564	1.96333	4.23E+22	4.88E+22	4.52E+22	1.84E+22	BCC	0
729	Gd50Al24Co20Y6	Al24.0Co20.0Y6.0Gd50.0	0.46846	0.68202	4.2	0.57143	1.4356	0.19372	0.14471	0.01806	0.21372	0.00981	0.42128	-34.4128	4.01E+23	8.13E+23	0	8.13E+23	AM	4
730	AlCo2CrFeMo0.5Ni	Al24.375Cr24.375Fe24.375Co2.0Ni24.375Mo0.5	3.17672	0.85462	6.79125	0.37894	1.75709	0.07127	0.06225	0.01372	0.27354	0.01231	1.5665	-13.13403	2.23E+23	2.97E+23	0	2.97E+23	BCC+FCC+IM	12
731	Al0.25MoNbTiV	Al0.25Ti24.9375V24.9375Nb24.9375Mo24.9375	7.01656	0.89301	4.995	0.14279	1.73219	0.14357	0.04073	0.00688	0.16405	0.01164	9.76048	-2.90834	5.70E+22	6.46E+22	1.48E+22	6.29E+22	BCC	0
732	Ce60Al10Ni10Cu20	Al10.0Ni10.0Cu20.0Ce60.0	0.35847	0.67082	5.3	0.66468	1.404	0.25427	0.15889	0.01779	0.18827	0.00905	0.40238	-26.56	4.05E+23	8.49E+23	3.47E+22	8.49E+23	AM	4
733	Nb25Sc25Ti25Zr25	Sc25.0Ti25.0Zr25.0Nb25.0	3.34621	0.86163	4	0.17678	1.4575	0.07888	0.0587	0.00874	0.16654	0.01153	2.76496	9	1.36E+23	1.73E+23	1.73E+23	0	BCC+HCP	6
734	AlCoCrFeNiV0.8	Al19.84V0.8Cr19.84Fe19.84Co19.84Ni19.84	4.10582	0.85431	7.1824	0.34525	1.77682	0.06799	0.05768	0.01379	0.24248	0.01366	1.84686	-12.48555	2.38E+23	2.91E+23	0	2.91E+23	BCC	0
735	Al16Co16Cr16Fe16Ni16Fe20	Al16.0Cr16.0Fe20.0Co16.0Ni16.0	0.36185	0.84481	6.08	0.40552	1.4956	0.189	0.18534	0.05379	0.31149	0.01243	2.13416	-8.2688	1.98E+23	2.79E+23	0	2.79E+23	IM	3
736	Al0.18CoCrFeMnNi	Al0.18Cr19.964Mn19.964Fe19.964Co19.964Ni19.964	12.20586	0.85361	7.991	0.17879	1.76572	0.07838	0.03322	0.00795	0.12073	0.01347	5.68844	-4.26147	9.21E+22	1.07E+23	1.61E+22	1.06E+23	BCC+IM	8
737	Nd60Al15Ni10Cu10Fe5	Al15.0Fe5.0Ni10.0Cu10.0Nd60.0	0.84595	0.74536	4.75	0.64846	1.398	0.23445	0.10867	0.01531	0.17337	0.00999	0.47907	-27.37	4.63E+23	8.23E+23	5.61E+22	8.21E+23	AM	4
738	Al0.7CoCrFe2Ni	Al0.7Cr32.43333333333333Fe2.0Co32.43333333333333Ni32.43333333333333	65.46715	0.85284	8.28933	0.20931	1.81549	0.06131	0.01239	0.00091	0.11522	0.01005	3.63947	-5.20155	8.39E+22	1.16E+23	0	1.16E+23	FCC+BCC+IM	12
739	AlCrTiVZr	Al20.0Ti20.0V20.0Cr20.0Zr20.0	1.77548	0.76412	4.4	0.23177	1.554	0.07642	0.08681	0.01815	0.25524	0.01338	1.23336	-20.32	3.77E+23	4.52E+23	0	4.52E+23	IM	3
740	C0.1Hf0.5Mo0.5NbTiZr	C0.1Ti32.96666666666667Zr32.96666666666667Nb32.96666666666667Mo0.5Hf0.5	3.43377	0.50077	4.33967	0.11154	1.49346	0.08676	0.05293	0.00829	0.15604	0.00962	10.57424	2.07402	1.22E+23	1.25E+23	4.71E+22	1.16E+23	BCC+IM	8
742	Co25Fe25Mn5Ni25Ti20	Ti20.0Mn5.0Fe25.0Co25.0Ni25.0	2.78188	0.83501	7.9	0.26822	1.7905	0.08171	0.06722	0.01491	0.0542	0.01257	1.27041	-17.72	3.64E+23	4.37E+23	0	4.37E+23	FCC+IM	9
