	name	full_name	X	y	mean_VEC	VEC_dif	mean_electronegativity	electronegativity_dif	atom_radius_dif	a2	melting_point_dif	Smix	aomiga	Hmix	Hmix_dif	Hmix_z	Hmix_p	Hmix_n	phase	label
517	CoCrMoNbTi	Ti20.0Cr20.0Co20.0Nb20.0Mo20.0	3.13399	0.84394	6	0.27889	1.768	0.1285	0.06534	0.01256	0.19227	0.01338	2.2967	-13.44	2.13E+23	2.51E+23	1.26E+22	2.51E+23	BCC+IM	8
518	Ti40Zr25Cu12Ni3Be20	Be20.0Ti40.0Ni3.0Cu12.0Zr25.0	0.78189	0.68925	4.62	0.58784	1.5478	0.11339	0.12175	0.02385	0.14288	0.01159	0.82197	-25.8764	4.40E+23	5.81E+23	9.47E+21	5.81E+23	AM	4
519	AlCo0.6CrFeNi2.4	Al32.333333333333336Cr32.333333333333336Fe32.333333333333336Co0.6Ni2.4	2.23591	0.8552	5.79067	0.37028	1.70612	0.05807	0.06721	0.0113	0.31333	0.0101	1.60483	-10.34839	1.48E+23	2.34E+23	0	2.34E+23	FCC+IM	9
520	AlLiMgSnZn	Li20.0Mg20.0Al20.0Zn20.0Sn20.0	3.8581	0.85159	4.4	0.89304	1.502	0.22135	0.05889	0.01139	0.28698	0.01338	1.54415	-6.08	4.21E+23	4.65E+23	8.76E+22	4.57E+23	FCC+HCP+IM	14
521	AlCoCrFeNiSi0.8	Al19.84Si0.8Cr19.84Fe19.84Co19.84Ni19.84	4.00521	0.79164	7.1744	0.34684	1.77898	0.06778	0.0584	0.01402	0.24162	0.01366	1.74324	-13.19662	2.62E+23	3.17E+23	0	3.17E+23	BCC+IM	8
522	AlCr4.5Mn13.6Ni37.1Sn0.3Ti12V10Zr21.5	Al1.0Ti12.0V10.0Cr4.5Mn13.6Ni37.1Zr21.5Sn0.3	1.32423	0.75069	6.814	0.38693	1.64984	0.13588	0.10201	0.01961	0.1394	0.01378	0.82404	-31.19364	5.06E+23	6.51E+23	7.61E+21	6.51E+23	IM	3
523	Al9.38Ni22.66Co22.66Fe22.66Cr22.66	Al9.38Cr22.66Fe22.66Co22.66Ni22.66	7.07994	0.85347	7.7592	0.26805	1.80067	0.0614	0.0429	0.00935	0.18105	0.01303	2.78336	-8.35211	1.76E+23	2.08E+23	0	2.08E+23	IM	3
524	AuPdAgPtCu	Cu20.0Pd20.0Ag20.0Pt20.0Au20.0	6.9776	0.87699	10.6	0.04622	2.17	0.10913	0.04379	0.00956	0.20254	0.01338	3.18164	-6.56	1.91E+23	2.14E+23	4.55E+22	2.09E+23	FCC	1
525	CoCrFeNiAl1.5	Al1.5Cr24.625Fe24.625Co24.625Ni24.625	35.63765	0.85282	8.17125	0.19588	1.81685	0.05466	0.01835	0.00194	0.11426	0.012	4.89464	-4.55439	9.33E+22	1.12E+23	0	1.12E+23	BCC	0
526	MoNbTiWZr	Ti20.0Zr20.0Nb20.0Mo20.0W20.0	3.64464	0.83831	5	0.17889	1.798	0.2185	0.06059	0.01318	0.23181	0.01338	6.79643	-5.28	8.00E+22	9.18E+22	2.42E+22	8.86E+22	BCC	0
527	AlCuTiYZr	Al20.0Ti20.0Cu20.0Y20.0Zr20.0	0.98499	0.69046	5	0.60663	1.52	0.15541	0.11655	0.02371	0.2646	0.01338	0.95382	-22.88	5.87E+23	6.69E+23	1.55E+23	6.51E+23	BCC+HCP+IM	13
528	NbTiV2Zr	Ti32.666666666666664V2.0Zr32.666666666666664Nb32.666666666666664	3.50185	0.81054	4.34667	0.10949	1.4928	0.07788	0.05282	0.0089	0.15084	0.00977	9.3307	2.37813	3.73E+22	4.81E+22	4.66E+22	1.18E+22	BCC	0
529	CoCrFeNiNb0.45	Cr24.8875Fe24.8875Co24.8875Ni24.8875Nb0.45	109.52564	0.85478	8.23538	0.18113	1.81901	0.05365	0.01034	0.00097	0.10093	0.01171	5.40232	-4.06575	8.10E+22	9.80E+22	0	9.80E+22	FCC+IM	9
530	HfMoNbTaZr	Zr20.0Nb20.0Mo20.0Hf20.0Ta20.0	3.37006	0.83978	4.8	0.1559	1.578	0.19718	0.06301	0.01242	0.14298	0.01338	32.42261	-1.12	6.75E+22	6.81E+22	3.77E+22	5.67E+22	BCC	0
531	Al5Cr32Fe35Ni22Ti6	Al5.0Ti6.0Cr32.0Fe35.0Ni22.0	4.50579	0.83372	7.31	0.26994	1.7648	0.06674	0.05052	0.01112	0.15139	0.0115	2.24887	-9.5868	1.97E+23	2.41E+23	0	2.41E+23	BCC+FCC+IM	12
533	Nb0.74CoCrFeNi2.0	Cr32.42Fe32.42Co32.42Ni2.0Nb0.74	58.8007	0.8548	7.6936	0.16816	1.79099	0.05349	0.01308	0.00123	0.10287	0.01006	5.97807	-3.23434	6.47E+22	8.08E+22	0	8.08E+22	FCC+IM	9
534	Co28.2Cr5.92Mo0.62Mn0.50Si0.13N0.04C	C64.59N0.04Si0.13Cr5.92Mn0.5Co28.2Mo0.62	0.12242	0.51588	5.5562	0.39983	2.3003	0.14916	0.24403	0.02413	0.3735	0.00729	0.63881	-42.43186	1.36E+23	4.35E+23	8.62E+20	4.35E+23	FCC	1
535	CoFeMo0.8NiV	V24.8Fe24.8Co24.8Ni24.8Mo0.8	18.62778	0.90207	7.984	0.23445	1.81528	0.06228	0.02519	0.00544	0.10773	0.01182	2.12851	-10.44378	1.81E+23	2.29E+23	0	2.29E+23	FCC+IM	9
536	Al2CoCrCuFeNi	Al2.0Cr19.6Fe19.6Co19.6Ni19.6Cu19.6	27.54052	0.85313	8.684	0.21728	1.83148	0.05275	0.02249	0.00387	0.16203	0.01393	11.7044	2.08544	1.87E+23	1.89E+23	1.55E+23	1.09E+23	FCC+BCC	5
537	CoCrFeMnNiPd	Cr16.666666666666668Mn16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668Pd16.666666666666668	8.05841	0.89399	8.33333	0.17889	1.83833	0.11163	0.043	0.01003	0.1085	0.0149	3.50927	-7.66667	1.84E+23	2.04E+23	1.34E+22	2.04E+23	FCC+IM	9
538	Sr20Ca20Yb20Li11Mg9Zn20	Li11.0Mg9.0Ca20.0Zn20.0Sr20.0Yb20.0	0.5888	0.62845	4.09	0.97622	1.1657	0.22409	0.15709	0.0326	0.24549	0.01453	1.10479	-12.152	5.22E+23	5.96E+23	2.22E+22	5.95E+23	AM	4
539	CoCrFeMnNiV	V16.666666666666668Cr16.666666666666668Mn16.666666666666668Fe16.666666666666668Co16.666666666666668Ni16.666666666666668	13.69057	0.91201	7.5	0.22771	1.74333	0.07807	0.03299	0.00754	0.12973	0.0149	3.67756	-7.55556	1.54E+23	1.76E+23	1.29E+22	1.75E+23	BCC+FCC	5
